Timestamp,Event,Temperature,Pressure,Altitude,Humidity,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Latitude,Longitude,DateTime
105,[INFO] Rocket initialized
111,[INFO] Initializing sensors...
5000,[STATE] WAKING_UP
10000,[STATE] CHECKING_ROCKET
10004,[INFO] Checking sensors...
10008,[INFO] Reading BME280 sensor...
10018,[INFO] BME280 sensor OK
10023,[INFO] Reading MPU6050 sensor...
10030,[INFO] MPU6050 sensor OK
10034,[INFO] Reading GPS sensor...
83781,[INFO] GPS sensor OK
83785,[INFO] Sensors OK
83789,SensorData,20.83,939.00,637.38,52.53,8.80,3.21,19.58,-63.73,7.97,-26.26,40.301483,-3.838309,3/3/2025 17:41:39
83797,[STATE] WAITING_FOR_LAUNCH
93797,[STATE] FLIGHT
93819,SensorData,20.66,938.95,637.78,49.09,5.77,-0.03,8.43,-1.55,9.50,2.52,40.301483,-3.838309,3/3/2025 17:41:39
93933,SensorData,20.66,938.96,637.71,49.09,5.86,0.07,8.46,-1.19,-3.14,1.94,40.301483,-3.838309,3/3/2025 17:41:39
93977,SensorData,20.67,938.98,637.58,49.10,6.28,-0.06,7.86,-2.10,6.79,2.00,40.301483,-3.838309,3/3/2025 17:41:39
94052,SensorData,20.66,938.99,637.46,49.16,6.37,-0.06,7.73,-0.90,-0.02,1.91,40.301483,-3.838309,3/3/2025 17:41:39
94116,SensorData,20.67,938.97,637.67,49.14,6.50,0.02,7.61,-1.20,3.38,2.23,40.301483,-3.838309,3/3/2025 17:41:39
94189,SensorData,20.66,938.97,637.60,49.15,6.42,0.04,7.75,-1.04,1.11,1.95,40.301483,-3.838309,3/3/2025 17:41:39
94253,SensorData,20.66,938.94,637.87,49.04,6.41,-0.03,7.81,-1.06,1.90,1.92,40.301483,-3.838309,3/3/2025 17:41:39
94306,SensorData,20.66,938.98,637.55,49.15,6.39,0.05,7.65,-1.16,4.22,2.13,40.301483,-3.838309,3/3/2025 17:41:39
94378,SensorData,20.66,938.99,637.49,49.13,6.51,0.16,7.76,-1.21,4.96,2.28,40.301483,-3.838309,3/3/2025 17:41:39
94762,SensorData,20.66,938.97,637.60,49.25,6.25,-0.03,7.87,-1.18,3.47,2.17,40.301498,-3.838375,3/3/2025 17:41:50
94796,SensorData,20.67,938.97,637.61,49.10,6.49,0.04,7.52,-1.15,3.35,2.02,40.301498,-3.838375,3/3/2025 17:41:50
94879,SensorData,20.67,938.97,637.63,49.30,6.35,0.07,7.76,-0.99,2.32,1.89,40.301498,-3.838375,3/3/2025 17:41:50
94923,SensorData,20.66,938.95,637.78,49.13,6.17,0.06,7.90,-1.53,2.26,1.96,40.301498,-3.838375,3/3/2025 17:41:50
94978,SensorData,20.67,938.96,637.72,49.14,6.57,0.02,7.46,-1.10,2.34,2.14,40.301498,-3.838375,3/3/2025 17:41:50
95052,SensorData,20.67,938.95,637.81,49.13,6.30,0.02,7.73,-0.91,1.13,1.89,40.301498,-3.838375,3/3/2025 17:41:50
95116,SensorData,20.66,938.97,637.63,49.14,6.42,0.00,7.73,-1.07,1.85,1.98,40.301498,-3.838375,3/3/2025 17:41:50
95189,SensorData,20.67,938.97,637.62,49.14,6.40,0.09,7.79,-1.08,2.82,2.01,40.301498,-3.838375,3/3/2025 17:41:50
95254,SensorData,20.67,938.96,637.73,49.14,6.40,0.05,7.77,-1.17,2.70,2.14,40.301498,-3.838375,3/3/2025 17:41:50
95307,SensorData,20.67,938.93,637.97,49.16,6.49,0.00,7.57,-1.11,2.95,2.11,40.301498,-3.838375,3/3/2025 17:41:50
95361,SensorData,20.66,938.94,637.89,49.15,6.52,0.00,7.58,-1.09,2.16,1.97,40.301498,-3.838375,3/3/2025 17:41:50
95764,SensorData,20.67,938.91,638.19,49.15,6.43,0.03,7.65,-1.02,1.69,2.20,40.301506,-3.838380,3/3/2025 17:41:51
95808,SensorData,20.66,938.96,637.73,49.19,6.47,0.04,7.72,-1.05,2.19,2.05,40.301506,-3.838380,3/3/2025 17:41:51
95883,SensorData,20.66,938.97,637.60,49.16,6.47,-0.03,7.65,-1.11,2.34,2.14,40.301506,-3.838380,3/3/2025 17:41:51
95927,SensorData,20.66,938.99,637.43,49.17,6.46,0.04,7.71,-1.08,2.39,1.99,40.301506,-3.838380,3/3/2025 17:41:51
95980,SensorData,20.66,938.99,637.44,49.17,6.48,0.02,7.64,-0.98,2.29,1.92,40.301506,-3.838380,3/3/2025 17:41:51
96043,SensorData,20.67,939.02,637.20,49.17,6.44,-0.03,7.68,-1.21,2.07,1.98,40.301506,-3.838380,3/3/2025 17:41:51
96051,[INFO] Apogee detected at 638.19 m
96113,SensorData,20.66,939.00,637.35,49.17,6.42,-0.00,7.54,-1.02,2.27,2.15,40.301506,-3.838380,3/3/2025 17:41:51
96177,SensorData,20.66,938.99,637.45,49.16,6.42,0.03,7.60,-1.11,2.24,2.08,40.301506,-3.838380,3/3/2025 17:41:51
96251,SensorData,20.66,939.01,637.25,49.19,6.41,0.06,7.70,-1.05,2.33,2.23,40.301506,-3.838380,3/3/2025 17:41:51
96294,SensorData,20.66,938.95,637.85,49.20,6.45,-0.01,7.63,-1.09,2.08,2.08,40.301506,-3.838380,3/3/2025 17:41:51
96350,SensorData,20.66,938.95,637.80,49.20,6.41,-0.01,7.63,-1.18,2.36,1.92,40.301506,-3.838380,3/3/2025 17:41:51
96763,SensorData,20.67,938.99,637.51,48.67,6.43,0.04,7.58,-1.16,2.24,2.03,40.301498,-3.838370,3/3/2025 17:41:52
96797,SensorData,20.66,938.99,637.47,49.25,6.42,-0.00,7.61,-1.29,2.77,2.14,40.301498,-3.838370,3/3/2025 17:41:52
96871,SensorData,20.66,938.95,637.80,48.94,6.44,0.02,7.57,-1.08,1.60,2.02,40.301498,-3.838370,3/3/2025 17:41:52
96925,SensorData,20.66,938.97,637.66,49.25,6.47,0.03,7.55,-1.14,1.96,1.99,40.301498,-3.838370,3/3/2025 17:41:52
96970,SensorData,20.66,939.00,637.40,49.24,6.44,0.02,7.57,-0.98,2.02,2.13,40.301498,-3.838370,3/3/2025 17:41:52
