Timestamp,Event,Temperature,Pressure,Altitude,Humidity,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Latitude,Longitude,DateTime
103,[INFO] Rocket initialized
109,[INFO] Initializing sensors...
5000,[STATE] WAKING_UP
10000,[STATE] CHECKING_ROCKET
10004,[INFO] Checking sensors...
10009,[INFO] Reading BME280 sensor...
10018,[INFO] BME280 sensor OK
10023,[INFO] Reading MPU6050 sensor...
10030,[INFO] MPU6050 sensor OK
10035,[INFO] Reading GPS sensor...
145831,[INFO] GPS sensor OK
145835,[INFO] Sensors OK
145840,SensorData,20.72,941.91,611.64,46.35,-3.11,4.07,8.25,4.48,-1.64,1.11,40.301498,-3.838949,3/2/2025 16:1:31
145845,[STATE] WAITING_FOR_LAUNCH
155845,[STATE] FLIGHT
155868,SensorData,21.67,941.89,611.80,44.57,0.12,0.16,10.01,3.19,2.14,0.49,40.301498,-3.838949,3/2/2025 16:1:31
155992,SensorData,21.67,941.89,611.80,44.57,0.16,0.19,10.29,2.45,1.44,0.22,40.301498,-3.838949,3/2/2025 16:1:31
156046,SensorData,21.68,941.89,611.81,44.59,0.15,0.38,10.48,1.21,0.98,0.64,40.301498,-3.838949,3/2/2025 16:1:31
156110,SensorData,21.68,941.89,611.84,44.58,0.09,0.17,9.79,-1.26,-0.95,1.93,40.301498,-3.838949,3/2/2025 16:1:31
156166,SensorData,21.67,941.87,611.99,44.59,0.13,0.46,10.28,2.06,7.36,0.63,40.301498,-3.838949,3/2/2025 16:1:31
156230,SensorData,21.67,941.87,611.99,44.59,0.19,0.32,9.86,-0.38,-0.59,1.88,40.301498,-3.838949,3/2/2025 16:1:31
156294,SensorData,21.67,941.88,611.91,44.63,0.21,0.15,9.91,2.38,6.64,2.89,40.301498,-3.838949,3/2/2025 16:1:31
156338,SensorData,21.67,941.88,612.00,44.61,-0.08,0.03,10.27,10.76,7.64,-7.98,40.301498,-3.838949,3/2/2025 16:1:31
156394,SensorData,21.68,941.87,612.00,44.61,0.51,-0.40,9.60,0.08,-7.88,1.31,40.301498,-3.838949,3/2/2025 16:1:31
156788,SensorData,21.68,941.91,611.64,44.61,0.36,-0.70,9.83,2.04,12.92,0.25,40.301498,-3.838949,3/2/2025 16:1:42
156812,SensorData,21.68,941.87,611.99,44.59,-0.49,-2.63,13.57,-66.60,-127.26,36.89,40.301498,-3.838949,3/2/2025 16:1:42
156846,SensorData,21.68,941.87,611.99,44.59,6.55,-4.30,5.69,4.00,-63.77,11.90,40.301498,-3.838949,3/2/2025 16:1:42
156902,SensorData,21.68,941.87,611.99,44.59,2.65,-1.26,14.03,52.79,28.18,8.85,40.301498,-3.838949,3/2/2025 16:1:42
156956,SensorData,21.68,941.87,612.03,44.50,5.58,1.88,15.37,-26.09,-86.15,77.07,40.301498,-3.838949,3/2/2025 16:1:42
157010,SensorData,21.68,941.87,612.03,44.50,6.43,-5.38,11.36,24.27,31.76,31.87,40.301498,-3.838949,3/2/2025 16:1:42
157074,SensorData,21.68,941.90,611.76,44.50,-3.53,1.76,19.61,-93.76,-109.16,54.18,40.301498,-3.838949,3/2/2025 16:1:42
157138,SensorData,21.68,941.87,611.95,44.38,-2.96,-6.12,6.48,47.92,-114.33,57.84,40.301498,-3.838949,3/2/2025 16:1:42
157204,SensorData,21.68,941.87,611.95,44.38,0.32,3.15,11.20,-86.54,-66.46,-133.55,40.301498,-3.838949,3/2/2025 16:1:42
157248,SensorData,21.67,941.86,612.11,44.32,-1.44,-1.66,6.41,-5.70,12.44,-99.55,40.301498,-3.838949,3/2/2025 16:1:42
157282,SensorData,21.67,941.86,612.11,44.32,2.59,1.26,10.29,-47.89,39.66,-108.76,40.301498,-3.838949,3/2/2025 16:1:42
157836,SensorData,21.67,941.86,612.08,44.25,-3.52,1.23,19.61,-141.46,2.28,-35.24,40.301517,-3.838866,3/2/2025 16:1:43
157872,SensorData,21.65,941.80,612.61,44.03,0.93,-5.64,11.46,16.93,78.67,-101.35,40.301517,-3.838866,3/2/2025 16:1:43
157956,SensorData,21.64,941.79,612.72,44.04,-0.33,4.10,15.64,6.08,-9.73,-101.64,40.301517,-3.838866,3/2/2025 16:1:43
158010,SensorData,21.64,941.76,612.94,43.95,0.02,-6.79,10.45,-141.27,7.73,-55.71,40.301517,-3.838866,3/2/2025 16:1:43
